"","time","meanX","meanY","meanZ","sdX","sdY","sdZ","sdT","energyX","energyY","energyZ","energyT","lat","lon","entropyX","entropyY","entropyZ","entropyT"
"11",73.571,-0.139161301045388,1.01926245243191,0.0177221389604508,0.508329708640568,0.652664860334715,0.661231549596608,1.059055085812,4.28230772464567,5.11156426762498,5.64833062429509,8.73898664331112,50.8937607943262,-1.39370678723404,4.51923914587012,4.47610063378353,4.56287064294595,7.82807689318266
"12",81.013,-0.100436701309803,1.0227500092118,0.020307238650265,0.493584049227206,0.657543336461621,0.714510683606666,1.08927222032175,4.2691876568475,5.48587328254579,6.34413385724496,9.41110000585322,50.8937518439716,-1.39359290070922,4.56519682335013,4.52186511690084,4.60254901046399,7.90390685453048
"13",88.539,-0.105107600699269,1.01084276802273,0.0661999466891451,0.49741290528457,0.701813354242189,0.665451253564146,1.08756009185994,4.4863275662697,6.14956121220828,5.61155481609141,9.45694377632471,50.8937232836879,-1.39341668794326,4.60281514700743,4.57874218550213,4.54103729245226,7.92286608306994
"14",96.116,-0.103577845946521,0.999219123728508,0.0833768069800697,0.483701583339997,0.698847812216499,0.763006569948826,1.14216220921132,4.07248769950379,5.85973956492667,6.95173028913531,9.96234198591164,50.8937090851064,-1.39318063829787,4.56535542231822,4.52569927163113,4.61303791351641,7.91230325637691
"15",103.75,-0.182838041982801,1.00582901161824,0.101666217683746,0.506935813007562,0.632786193149215,0.664105218027715,1.04806394144706,4.77600311820065,5.6111302192952,6.2617658555353,9.66978281826939,50.8936854468085,-1.39294626241135,4.63614057282171,4.5796833578386,4.64855776724997,8.00477285027423
"16",111.135,-0.145013410836059,1.01884036728877,0.043184051161207,0.516023276007572,0.683683628233177,0.656859227333787,1.07942918685257,4.16107309679703,4.87488004945162,5.347135314463,8.34690606659778,50.8937596595745,-1.39287285815603,4.45849782163245,4.35073706169199,4.50424190945752,7.6873474608863
"17",118.617,-0.132868455179201,1.00015013790391,0.0198284570750925,0.506881578058365,0.64033440109029,0.662630539119916,1.05168260933085,4.27746998868325,5.42394835542718,5.82745537899252,9.03743334473765,50.8938651702128,-1.39283826241135,4.53796722202034,4.5636764451812,4.6103637397768,7.91680131223978
"18",126.045,-0.0922058320587204,1.01028807542737,0.0532019744902707,0.453944737625915,0.623117195091867,0.623780894089437,0.991687182264868,4.00565186129937,5.33262650871006,5.70640185185448,8.77753806087883,50.8939695319149,-1.39281580851064,4.57560178576846,4.54671085475199,4.62193613980905,7.93542720835621
"19",133.503,-0.0891832052480531,1.00655728119314,0.0344661085715146,0.382368837180864,0.590147098867537,0.650253032349843,0.957762252351272,3.58494376989462,4.63188972621907,5.83470817633665,8.26740852820095,50.8940658865248,-1.39281190780142,4.64611270550799,4.45561583049489,4.58807707196925,7.90501909672389
"20",140.868,-0.0888326348048603,1.02799745034943,0.0326511112650561,0.420142900934143,0.602482119838532,0.563669946267338,0.925866388986831,3.83510463176612,4.82963704564495,4.99558788250261,7.9365811166438,50.8941468652482,-1.3928969787234,4.61022919716275,4.48315651949693,4.59685790924546,7.90468267968249
"21",148.48,-0.0904148628433692,1.00990584284317,-0.00114709281616335,0.439928932082195,0.605256975686924,0.649775674910238,0.991000453887746,3.71780569181653,5.15081613825787,6.26791251826126,8.92410854869086,50.8942274042553,-1.39295021276596,4.55853883210892,4.55801738008365,4.68528911995495,7.96917391318309
"22",156.025,-0.122488868752183,1.0122408437923,0.0100679239884701,0.494121861942422,0.628379919242082,0.620620093443594,1.01202126348317,4.09692126399948,5.13170125524943,5.58397946033405,8.6197417728127,50.8943030212766,-1.39306423404255,4.5088203103811,4.49118857125487,4.59602268204089,7.85007387657656
